#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,,445,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T16:53:35.548132Z,30.79,temperature,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Critical,Healthy,Globus Medical,GBS2,Downtown,Philips,NICU,Down
,,445,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T16:53:40.553875Z,30.6,temperature,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Critical,Healthy,Globus Medical,GBS2,Downtown,Philips,NICU,Down

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,446,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:45.89883Z,4,error_count,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Active
,,446,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:55.914748Z,4,error_count,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Active
,,447,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:45.89883Z,80,health_percent,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Active
,,447,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:55.914748Z,82,health_percent,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Active
,,448,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:45.89883Z,79,load,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Active
,,448,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:55.914748Z,56,load,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Active

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,449,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:45.89883Z,34.7,temperature,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Active
,,449,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:55.914748Z,35.13,temperature,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Active

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,450,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:25.867876Z,0,error_count,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Down
,,450,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:35.888043Z,1,error_count,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Down
,,450,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:50.907553Z,0,error_count,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Down
,,450,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:23:00.921331Z,2,error_count,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Down
,,450,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:23:05.928651Z,3,error_count,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Down
,,451,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:25.867876Z,90,health_percent,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Down
,,451,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:35.888043Z,98,health_percent,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Down
,,451,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:50.907553Z,92,health_percent,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Down
,,451,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:23:00.921331Z,86,health_percent,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Down
,,451,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:23:05.928651Z,88,health_percent,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Down
,,452,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:25.867876Z,60,load,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Down
,,452,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:35.888043Z,24,load,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Down
,,452,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:50.907553Z,76,load,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Down
,,452,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:23:00.921331Z,82,load,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Down
,,452,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:23:05.928651Z,26,load,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Down

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,453,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:25.867876Z,34.8,temperature,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Down
,,453,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:35.888043Z,34.5,temperature,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Down
,,453,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:50.907553Z,34.97,temperature,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Down
,,453,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:23:00.921331Z,34.71,temperature,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Down
,,453,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:23:05.928651Z,34.76,temperature,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Down

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,454,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:30.880534Z,2,error_count,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Idle
,,454,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:40.895411Z,4,error_count,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Idle
,,455,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:30.880534Z,91,health_percent,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Idle
,,455,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:40.895411Z,81,health_percent,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Idle
,,456,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:30.880534Z,57,load,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Idle
,,456,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:40.895411Z,94,load,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Idle

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,457,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:30.880534Z,34.4,temperature,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Idle
,,457,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:40.895411Z,34.53,temperature,hospital_device_data,ExcelsiusGPS,GBS2-DEV-006,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Idle

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,458,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T13:30:49.987728Z,2,error_count,hospital_device_data,ExcelsiusGPS,GBS2-DEV-007,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,NICU,Active
,,459,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T13:30:49.987728Z,88,health_percent,hospital_device_data,ExcelsiusGPS,GBS2-DEV-007,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,NICU,Active
,,460,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T13:30:49.987728Z,61,load,hospital_device_data,ExcelsiusGPS,GBS2-DEV-007,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,NICU,Active

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,461,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T13:30:49.987728Z,31.12,temperature,hospital_device_data,ExcelsiusGPS,GBS2-DEV-007,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,NICU,Active

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,462,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T13:30:44.980077Z,3,error_count,hospital_device_data,ExcelsiusGPS,GBS2-DEV-007,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,NICU,Down
,,463,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T13:30:44.980077Z,85,health_percent,hospital_device_data,ExcelsiusGPS,GBS2-DEV-007,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,NICU,Down
,,464,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T13:30:44.980077Z,40,load,hospital_device_data,ExcelsiusGPS,GBS2-DEV-007,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,NICU,Down

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,465,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T13:30:44.980077Z,31.07,temperature,hospital_device_data,ExcelsiusGPS,GBS2-DEV-007,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,NICU,Down

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,466,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T13:30:54.994742Z,3,error_count,hospital_device_data,ExcelsiusGPS,GBS2-DEV-007,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,NICU,Idle
,,467,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T13:30:54.994742Z,88,health_percent,hospital_device_data,ExcelsiusGPS,GBS2-DEV-007,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,NICU,Idle
,,468,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T13:30:54.994742Z,44,load,hospital_device_data,ExcelsiusGPS,GBS2-DEV-007,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,NICU,Idle

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,469,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T13:30:54.994742Z,31,temperature,hospital_device_data,ExcelsiusGPS,GBS2-DEV-007,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,NICU,Idle

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,470,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T13:30:44.980089Z,5,error_count,hospital_device_data,ExcelsiusGPS,GBS2-DEV-008,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Active
,,471,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T13:30:44.980089Z,86,health_percent,hospital_device_data,ExcelsiusGPS,GBS2-DEV-008,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Active
,,472,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T13:30:44.980089Z,96,load,hospital_device_data,ExcelsiusGPS,GBS2-DEV-008,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Active

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,473,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T13:30:44.980089Z,33.04,temperature,hospital_device_data,ExcelsiusGPS,GBS2-DEV-008,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Active

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,474,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T13:30:49.98782Z,1,error_count,hospital_device_data,ExcelsiusGPS,GBS2-DEV-008,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Idle
,,474,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T13:30:54.994751Z,3,error_count,hospital_device_data,ExcelsiusGPS,GBS2-DEV-008,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Idle
,,475,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T13:30:49.98782Z,100,health_percent,hospital_device_data,ExcelsiusGPS,GBS2-DEV-008,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Idle
,,475,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T13:30:54.994751Z,99,health_percent,hospital_device_data,ExcelsiusGPS,GBS2-DEV-008,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Idle
,,476,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T13:30:49.98782Z,18,load,hospital_device_data,ExcelsiusGPS,GBS2-DEV-008,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Idle
,,476,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T13:30:54.994751Z,74,load,hospital_device_data,ExcelsiusGPS,GBS2-DEV-008,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Idle

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,477,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T13:30:49.98782Z,32.81,temperature,hospital_device_data,ExcelsiusGPS,GBS2-DEV-008,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Idle
,,477,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T13:30:54.994751Z,32.87,temperature,hospital_device_data,ExcelsiusGPS,GBS2-DEV-008,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ER-1,Idle

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,478,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:30.880559Z,5,error_count,hospital_device_data,ExcelsiusGPS,GBS2-DEV-009,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ER-1,Active
,,478,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:45.898857Z,3,error_count,hospital_device_data,ExcelsiusGPS,GBS2-DEV-009,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ER-1,Active
,,478,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:55.914795Z,2,error_count,hospital_device_data,ExcelsiusGPS,GBS2-DEV-009,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ER-1,Active
,,478,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:23:05.928679Z,2,error_count,hospital_device_data,ExcelsiusGPS,GBS2-DEV-009,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ER-1,Active
,,479,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:30.880559Z,85,health_percent,hospital_device_data,ExcelsiusGPS,GBS2-DEV-009,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ER-1,Active
,,479,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:45.898857Z,89,health_percent,hospital_device_data,ExcelsiusGPS,GBS2-DEV-009,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ER-1,Active
,,479,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:55.914795Z,81,health_percent,hospital_device_data,ExcelsiusGPS,GBS2-DEV-009,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ER-1,Active
,,479,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:23:05.928679Z,81,health_percent,hospital_device_data,ExcelsiusGPS,GBS2-DEV-009,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ER-1,Active
,,480,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:30.880559Z,99,load,hospital_device_data,ExcelsiusGPS,GBS2-DEV-009,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ER-1,Active
,,480,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:45.898857Z,61,load,hospital_device_data,ExcelsiusGPS,GBS2-DEV-009,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ER-1,Active
,,480,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:55.914795Z,73,load,hospital_device_data,ExcelsiusGPS,GBS2-DEV-009,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ER-1,Active
,,480,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:23:05.928679Z,84,load,hospital_device_data,ExcelsiusGPS,GBS2-DEV-009,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ER-1,Active

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,481,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:30.880559Z,32.59,temperature,hospital_device_data,ExcelsiusGPS,GBS2-DEV-009,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ER-1,Active
